time,seconds_elapsed,z,y,x
1669502675097581600,0.02158154296875,0.0019979169592261314,-0.0034071372356265783,-0.015701670199632645
1669502675107511600,0.031511474609375,0.0030123149044811726,0.0020555388182401657,-0.026940476149320602
1669502675117442600,0.041442626953125,0.00009239278733730316,-0.0007389551028609276,-0.017432037740945816
1669502675127373600,0.05137353515625,-0.001585664926096797,-0.010669350624084473,-0.005735701881349087
1669502675137304600,0.0613046875,0.0004925415851175785,-0.010275048203766346,-0.009525013156235218
1669502675147235600,0.071235595703125,0.002493374515324831,-0.0106628043577075,-0.01978883519768715
1669502675157166600,0.08116650390625,0.0018573020352050662,-0.001677946769632399,-0.014921896159648895
1669502675167097600,0.09109765625,0.0013851237017661333,0.004309638403356075,-0.007055983878672123
1669502675177028600,0.101028564453125,0.0013522417284548283,0.004960136022418737,-0.007096629124134779
1669502675186958600,0.11095849609375,0.001886738114990294,-0.002145976759493351,-0.009612517431378365
1669502675196889600,0.1208896484375,0.0026168953627347946,-0.002230784622952342,-0.013074789196252823
1669502675206820600,0.130820556640625,0.0025929268449544907,-0.0007165111601352692,-0.013822604902088642
1669502675216751600,0.140751708984375,0.0014363658847287297,0.0036783176474273205,-0.012123726308345795
1669502675226682600,0.1506826171875,0.0011058675590902567,0.0010883938521146774,-0.006231482140719891
1669502675236613600,0.160613525390625,0.0011298502795398235,0.004190440755337477,-0.0033303224481642246
1669502675246544600,0.170544677734375,0.0011817819904536009,0.003843697253614664,-0.005383353214710951
1669502675256474400,0.180474365234375,0.0005741864442825317,-0.0011741204652935266,-0.007988378405570984
1669502675266405600,0.190405517578125,0.0015688770217821002,0.0008040755055844784,-0.007563870400190353
1669502675276336600,0.200336669921875,0.0011854346375912428,-0.0008304486982524395,-0.005602912046015263
1669502675286267400,0.210267333984375,0.0015646687243133783,0.0022108813282102346,-0.006638349033892155
1669502675296198700,0.22019873046875,0.0008073230274021626,0.004625560715794563,-0.007797976024448872
1669502675306129400,0.23012939453125,-0.00023290771059691906,0.0048178406432271,-0.00757906399667263
1669502675316060400,0.240060302734375,-0.0016793124377727509,0.0026881175581365824,-0.006424319930374622
1669502675325991700,0.24999169921875,0.0017369904089719057,0.006323065608739853,-0.003625071607530117
1669502675335921400,0.25992138671875,-0.0033791617024689913,0.009769500233232975,0.002622196450829506
1669502675345852700,0.269852783203125,-0.001349566737189889,0.010887760668992996,-0.000006343238055706024
1669502675355783700,0.27978369140625,-0.0006552070844918489,0.01198102068156004,0.000014280900359153748
1669502675365714400,0.28971435546875,-0.0020038315560668707,0.011723759584128857,0.0005250750109553337
1669502675375645700,0.299645751953125,-0.0011062321718782187,0.014597201719880104,0.002413532231003046
1669502675385576700,0.30957666015625,0.0014650498051196337,0.009834138676524162,-0.001266423612833023
1669502675395507500,0.319507568359375,-0.0011873978655785322,0.006117997691035271,-0.002396731171756983
1669502675405438700,0.329438720703125,-0.0013993855100125074,0.009666127152740955,-0.0034793061204254627
1669502675415368400,0.339368408203125,-0.0007647196762263775,0.007721037603914738,-0.0018072361126542091
1669502675425299700,0.3492998046875,-0.0023469040170311928,0.004563060589134693,0.0001959935761988163
1669502675435230500,0.35923046875,-0.003303997218608856,0.00046902033500373363,-0.0041222963482141495
1669502675445161500,0.369161376953125,-0.00252928351983428,-0.00009690131992101669,-0.0015113330446183681
1669502675455092700,0.3790927734375,-0.0004028130788356066,0.001654048915952444,-0.004261808469891548
1669502675465023500,0.3890234375,-0.002132536144927144,0.006485023535788059,-0.0000742538832128048
1669502675474954500,0.39895458984375,0.0018907749326899648,-0.028583716601133347,-0.008188521489501
1669502675484885800,0.4088857421875,-0.0010682630818337202,-0.03227991610765457,-0.008065483532845974
1669502675494815500,0.4188154296875,0.0024347673170268536,-0.06602010875940323,0.03463585674762726
1669502675504746800,0.428746826171875,-0.0024388174060732126,-0.07526687532663345,0.03989346697926521
1669502675514677500,0.438677490234375,0.0016367281787097454,-0.07238015532493591,0.021278224885463715
1669502675524608500,0.4486083984375,-0.001977447886019945,-0.04998776689171791,-0.005200253799557686
1669502675534539800,0.458539794921875,-0.0005884587299078703,-0.03772646561264992,-0.01063364278525114
1669502675544470500,0.468470458984375,0.000053629279136657715,-0.03775442764163017,-0.009657061658799648
1669502675554401500,0.478401611328125,-0.0025559505447745323,-0.040269702672958374,-0.002249698620289564
1669502675564331500,0.48833154296875,0.0005522246938198805,-0.03789602592587471,0.001227857545018196
1669502675574262500,0.498262451171875,-0.0021305305417627096,-0.028213147073984146,0.0004238593392074108
1669502675584193800,0.50819384765625,0.0007515423931181431,-0.00002358853816986084,-0.0072628227062523365
1669502675594124500,0.51812451171875,-0.0004486832767724991,0.027907412499189377,-0.0018715821206569672
1669502675604055600,0.5280556640625,-0.001424998277798295,0.030310913920402527,-0.004323288332670927
1669502675613986600,0.537986572265625,-0.0010890418197959661,0.019136939197778702,0.0001329663209617138
1669502675623917600,0.54791748046875,0.0009866261389106512,-0.004331102594733238,0.004982050508260727
1669502675633848600,0.5578486328125,0.0008904882706701756,0.003129786578938365,0.009709451347589493
1669502675643778600,0.567778564453125,0.0014468226581811905,0.022334640845656395,0.011508418247103691
1669502675653709600,0.57770947265625,0.001319163478910923,0.020164579153060913,0.017357442528009415
1669502675663640600,0.587640625,0.0037279927637428045,0.008703932166099548,0.03628426045179367
1669502675673571600,0.597571533203125,0.006464794278144836,0.005657918285578489,0.06492157280445099
1669502675683502600,0.607502685546875,0.000913701020181179,-0.01111040823161602,0.08812116831541061
