time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1669502675097581600,0.02158154296875,1.1379336221107488,0.030459290598449342,0.5381299754953655,-0.037170006876299136,0.8423074722289131,-0.0025736000894551808,0.04856139750666235
1669502675107511600,0.031511474609375,1.1379508948585946,0.030360377344464073,0.5381406569034461,-0.03716961801901637,0.8423038574667648,-0.002636440120339462,0.04832658325929535
1669502675117442600,0.041442626953125,1.1379589977955997,0.03026569881862682,0.5381472505034627,-0.03717274792942665,0.8423029663189834,-0.00269879115365041,0.04809962657006128
1669502675127373600,0.05137353515625,1.1379444963616554,0.030234756181164963,0.5381418710803245,-0.03722488112258859,0.8423074069207215,-0.002749741952494945,0.04799283722511561
1669502675137304600,0.0613046875,1.1379377409736098,0.03023506116746057,0.5381383873022191,-0.03732985261745423,0.8423094223843386,-0.002811932780207422,0.04792648120130988
1669502675147235600,0.071235595703125,1.1379467158446739,0.030192981542489724,0.5381430597671024,-0.03742040260093143,0.8423076689881338,-0.002892474843842097,0.0477685939109126
1669502675157166600,0.08116650390625,1.1379644477039956,0.03013059828328718,0.5381523385991048,-0.037471962549507784,0.842303750181453,-0.002962754936182966,0.04758736354724631
1669502675167097600,0.09109765625,1.1379723420451098,0.030076238728043977,0.538157600180051,-0.03745633970128341,0.8423022478241385,-0.0029881719924458837,0.04746817613039965
1669502675177028600,0.101028564453125,1.137994538135158,0.03003408803202652,0.5381686806361994,-0.037408636395954736,0.8422965685188291,-0.0029865355412636452,0.04739844445519747
1669502675186958600,0.11095849609375,1.1380168016451047,0.029991272217721875,0.5381796546812612,-0.03738436450187233,0.8422910161665415,-0.002999229581245314,0.04731215855611373
1669502675196889600,0.1208896484375,1.138034757339117,0.029951933566948002,0.5381884236562502,-0.03740426076986795,0.8422867204122803,-0.0030359693282143957,0.04720591500517649
1669502675206820600,0.130820556640625,1.1380495741623875,0.029891669277370112,0.5381965939620681,-0.037421686425114356,0.8422834883628102,-0.003084684766032485,0.047051544179537996
1669502675216751600,0.140751708984375,1.1380647970731463,0.02983157780908847,0.5382051065962093,-0.03740973092184169,0.8422800491045543,-0.003115849530243506,0.04691636311320124
1669502675226682600,0.1506826171875,1.138072064133587,0.029785684259391685,0.5382098626945054,-0.03738408144413092,0.8422785878564306,-0.0031299096004571043,0.0468236996836694
1669502675236613600,0.160613525390625,1.138082739947009,0.029762052451533315,0.5382153298572027,-0.037354279759330714,0.8422759327721379,-0.003127205960901091,0.046786567902455896
1669502675246544600,0.170544677734375,1.138084254479127,0.02973444211469427,0.5382170227820028,-0.03733297842345861,0.842275795999064,-0.003132221121384515,0.0467345828228707
1669502675256474400,0.180474365234375,1.1380934813044852,0.029701349578197103,0.5382220281071031,-0.037330991146298904,0.8422737164896451,-0.00315210107582285,0.04665719784109074
1669502675266405600,0.190405517578125,1.1381045806547705,0.029674975993777847,0.5382274945069064,-0.037347031219512605,0.8422710618219718,-0.0031783517675251743,0.04658424131256862
1669502675276336600,0.200336669921875,1.1381094765583708,0.029640473500476217,0.5382308259264804,-0.03732700805377492,0.8422701355947784,-0.0031884918778094656,0.046515053938401746
1669502675286267400,0.210267333984375,1.1381115827883725,0.02961552608635932,0.5382326757499521,-0.03730934213666925,0.8422696859339573,-0.0031939514677837835,0.0464670616686892
1669502675296198700,0.22019873046875,1.138122034992056,0.02957666273632676,0.5382385766841632,-0.037276232508222,0.8422672355626963,-0.003199041250534987,0.04639585640714577
1669502675306129400,0.23012939453125,1.138114491751361,0.02953899727966699,0.5382368855535244,-0.03723683564100662,0.8422696457045488,-0.0031998807800415877,0.04633158805878835
1669502675316060400,0.240060302734375,1.1381142937299478,0.0295012576211647,0.5382382383509808,-0.037206769661151495,0.8422700733684644,-0.0032062038986772935,0.04626114853345013
1669502675325991700,0.24999169921875,1.1381031742024543,0.029471149892611754,0.5382349127785206,-0.03714504334468696,0.8422733327655254,-0.00318900204706775,0.046229127337093015
1669502675335921400,0.25992138671875,1.1380981562128873,0.029454149775144964,0.5382338326957228,-0.037064703957472266,0.8422747345946895,-0.0031522786668984394,0.04624012259522322
1669502675345852700,0.269852783203125,1.138070680381722,0.029430909814130768,0.5382237632628653,-0.03693672011708737,0.8422822475809638,-0.003091584791630722,0.046266841790723184
1669502675355783700,0.27978369140625,1.1380603018414577,0.029398978374700277,0.5382210535677393,-0.03682970637037284,0.8422853368316369,-0.003048665147356425,0.04625944221286547
1669502675365714400,0.28971435546875,1.1380647435343956,0.029378771796693414,0.5382241913422195,-0.036727010416758424,0.8422841853593688,-0.0030005977569098926,0.04627707695154945
1669502675375645700,0.299645751953125,1.1380419321415376,0.02935226779015841,0.5382162607572042,-0.03658893030262046,0.842290388201529,-0.0029359383035924115,0.04630246960688895
1669502675385576700,0.30957666015625,1.138049824984011,0.0293313531326094,0.5382208762874073,-0.0364848136853931,0.8422883418508808,-0.0028874337759505864,0.04631932039599471
1669502675395507500,0.319507568359375,1.1380501793977265,0.029307433069935242,0.5382221989154995,-0.03641835289725398,0.8422884137614013,-0.002863302717639078,0.04630498216201354
1669502675405438700,0.329438720703125,1.1380452578050972,0.029267965794769698,0.5382219117285596,-0.03633450681906401,0.8422900520315595,-0.00283888026914331,0.04626484045095666
1669502675415368400,0.339368408203125,1.138039022199382,0.029238482407474082,0.538220721696885,-0.036253558124040616,0.8422919410805544,-0.0028098035747952874,0.0462465703629507
1669502675425299700,0.3492998046875,1.1380066753506564,0.02921434847384888,0.5382082502391978,-0.036192323301563606,0.8423007836167502,-0.0027893588457348173,0.046228489189110836
