time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1669498386849354000,2.53435400390625,-0.2850610458189698,0.030173789335973436,-0.14154942107568225,0.030386049116142885,0.9894100193009069,0.011011875878183853,0.056621299196983034
1669498386859286000,2.5442861328125,-0.2850685754786263,0.03018080389277677,-0.14155305513454736,0.030383612696577,0.9894092374612572,0.011009528930934855,0.05663574009722035
1669498386869218000,2.554218017578125,-0.2850673733924953,0.03017762715691392,-0.14155241795052925,0.03039127668504171,0.9894093650102103,0.011013872976528274,0.05662823378789825
1669498386879150000,2.564150146484375,-0.28507060301339343,0.030173110856697535,-0.14155417298198342,0.03038622567498164,0.9894092683337699,0.01101192673402263,0.056619789819249394
1669498386889081900,2.574081787109375,-0.2850659086514832,0.03017824942021991,-0.14155154320711777,0.030400792813253637,0.9894094733289941,0.011018608569477669,0.05662815014549698
1669498386899014000,2.584013916015625,-0.28507569318285053,0.030183005851674282,-0.14155621769260918,0.030406671261809466,0.9894085958635306,0.011020752272874468,0.05663681325996804
1669498386908946000,2.59394580078125,-0.28508860932171337,0.03018001978202994,-0.14156237329135996,0.030427693816353314,0.9894077182344236,0.011031611368835357,0.05662762651487683
1669498386918878000,2.6038779296875,-0.28508644604625255,0.030174901997361083,-0.14156135138795622,0.030431327525580743,0.9894079937651983,0.011034213651533566,0.05661678439729987
1669498386928810200,2.613810302734375,-0.2850907671060645,0.03017119138694795,-0.14156353139331304,0.030433168690612813,0.9894078120084941,0.011035615418711661,0.056608973312954315
1669498386938742300,2.6237421875,-0.28510584938641076,0.030168442163423983,-0.14157092464374044,0.03044201889198542,0.9894067951087232,0.011040264018059295,0.05660198115970642
1669498386948674000,2.633674072265625,-0.2851088536949285,0.030163288620076164,-0.14157227160487224,0.030459895749640347,0.9894066047112008,0.011049989290396356,0.0565889675365891
1669498386958606000,2.643606201171875,-0.28511962072437597,0.030156964776999483,-0.1415776702935312,0.030463340602009392,0.9894060247648621,0.011052485021655243,0.05657557142453136
1669498386968538000,2.6535380859375,-0.2851311997811959,0.030167031579009185,-0.14158317099145062,0.030466035295272205,0.9894049150724149,0.011052230899777391,0.05659540689469233
1669498386978470100,2.66347021484375,-0.28514354789812607,0.03017921367374861,-0.14158888065012554,0.03047842300780883,0.9894036424264548,0.011056555179295576,0.05661812176308314
1669498386988402200,2.673402099609375,-0.28515627158237555,0.03018628872101997,-0.14159496356420798,0.030484142682866595,0.9894025205804479,0.011058242516778411,0.0566314632233958
1669498386998334200,2.683334228515625,-0.28515287956261703,0.03020203925851532,-0.1415931202260141,0.03047359144282191,0.9894024303361878,0.011050695493717181,0.05666485656204091
1669498387008266000,2.693265869140625,-0.28514940492148044,0.030219075194050045,-0.14159120358827554,0.030463921427808585,0.9894022755400408,0.011043409790348926,0.05670072114179098
1669498387018198000,2.703197998046875,-0.28514120929127174,0.03022276521458108,-0.14158718433703393,0.03045610486317533,0.9894027880804431,0.011039049245887063,0.05670939145469214
1669498387028131000,2.713131103515625,-0.2851275468631637,0.03024000555207612,-0.14158024592658347,0.030444673198467324,0.9894033632026906,0.011030990691694477,0.0567460355102312
1669498387038063000,2.72306298828125,-0.2851416522938095,0.030259497765203976,-0.1415869329949776,0.030439202641913396,0.9894018114125517,0.011025220422377309,0.05678606385543607
1669498387047995100,2.7329951171875,-0.28514252794806216,0.03027423271625552,-0.14158734098515224,0.030420452809145102,0.9894014248728248,0.01101361960403749,0.05681852644345639
1669498387057927200,2.74292724609375,-0.2851443154521532,0.030290351005193405,-0.14158766151260965,0.030438957264117543,0.989400792896646,0.011020616026576722,0.05684844310250622
1669498387067859200,2.752859130859375,-0.28514962226655965,0.030296660872377337,-0.14159012927784542,0.030441842841114928,0.9894002153190063,0.011021088401539522,0.05686072576666173
1669498387077791000,2.762791015625,-0.28514191936398064,0.03031398297315841,-0.14158584739503044,0.030451527937068745,0.9894002877816214,0.0110235946309079,0.056894446358572444
