time,seconds_elapsed,z,y,x
1670388013754274800,0.02627490234375,0.004367423243820667,0.021272117272019386,0.03642870858311653
1670388013764205800,0.036205810546875,0.0024997484870254993,-0.013227004557847977,0.013498891144990921
1670388013774137900,0.046137939453125,0.00126843829639256,-0.04084627330303192,-0.00582519918680191
1670388013784069000,0.056069091796875,-0.0007859240286052227,-0.04824719950556755,-0.0179753378033638
1670388013794001000,0.0660009765625,0.002334349788725376,-0.0350775271654129,-0.011343651451170444
1670388013803932000,0.075931884765625,0.00816241092979908,-0.012636400759220123,-0.0000302768312394619
1670388013813864000,0.085864013671875,0.016274649649858475,0.01084864977747202,0.00686365831643343
1670388013823795000,0.095794921875,0.015873044729232788,0.03765442967414856,0.008591516874730587
1670388013833727000,0.10572705078125,0.009970886632800102,0.05470460280776024,0.006480702199041843
1670388013843659000,0.115658935546875,0.0047750589437782764,0.049275483936071396,-0.007325390819460154
1670388013853590000,0.125590087890625,-0.0003800585400313139,0.027059540152549744,-0.02694379910826683
1670388013863522000,0.13552197265625,-0.0032307058572769165,0.001188261667266488,-0.04650125652551651
1670388013873452800,0.145452880859375,-0.0018193400464951992,-0.019130371510982513,-0.055507317185401917
1670388013883384800,0.155384765625,0.0009740495588630438,-0.03234976902604103,-0.050260089337825775
1670388013893316000,0.165316162109375,0.0052225906401872635,-0.03409094363451004,-0.036530960351228714
1670388013903248000,0.175247802734375,0.017269931733608246,-0.026889756321907043,-0.016505319625139236
1670388013913179000,0.185178955078125,0.023468252271413803,-0.0032883372623473406,0.003318900242447853
1670388013923111000,0.19511083984375,0.026019826531410217,0.012514062225818634,0.01377686858177185
1670388013933042200,0.205042236328125,0.022856896743178368,0.01632908545434475,0.028358787298202515
1670388013942974000,0.214973876953125,0.02173570543527603,0.00974362064152956,0.033064860850572586
1670388013952905000,0.224905029296875,0.019865594804286957,-0.007279937155544758,0.02575533092021942
1670388013962837000,0.2348369140625,0.021177202463150024,-0.031542666256427765,0.01960582472383976
1670388013972768000,0.24476806640625,0.015225277282297611,-0.047930758446455,0.014635808765888214
1670388013982699800,0.25469970703125,0.00717054633423686,-0.05146477371454239,0.011811260133981705
1670388013992631000,0.264631103515625,0.006787313148379326,-0.04731879383325577,0.0076158782467246056
1670388014002563000,0.27456298828125,0.0007102459203451872,-0.05448349565267563,0.005144731141626835
1670388014012493800,0.284493896484375,-0.0043351491913199425,-0.07487890124320984,0.004740762524306774
1670388014022425900,0.29442578125,-0.010651368647813797,-0.09502917528152466,0.010662034153938293
1670388014032356900,0.30435693359375,-0.016535289585590363,-0.11823920905590057,0.016876617446541786
1670388014042289000,0.314288818359375,-0.016445009037852287,-0.12143447250127792,0.02104100212454796
1670388014052221200,0.32422119140625,-0.016442878171801567,-0.1379609853029251,0.02773166075348854
1670388014062152000,0.33415185546875,-0.006918615195900202,-0.14451129734516144,0.04133109375834465
1670388014072084000,0.344083984375,0.0004894779995083809,-0.12604635953903198,0.05548122525215149
1670388014082015000,0.354014892578125,-0.010737876407802105,-0.10734377056360245,0.06866493821144104
1670388014091946800,0.36394677734375,-0.02496851049363613,-0.10317626595497131,0.07306143641471863
1670388014101878000,0.3738779296875,-0.03121388889849186,-0.11732217669487,0.07217860221862793
1670388014111810000,0.38381005859375,-0.041046690195798874,-0.14812767505645752,0.0568358339369297
1670388014121741000,0.393740966796875,-0.04389574006199837,-0.19069352746009827,0.03658489137887955
1670388014131672800,0.4036728515625,-0.04239899292588234,-0.21653158962726593,0.017246251925826073
1670388014141603800,0.413603759765625,-0.043633099645376205,-0.21591641008853912,0.005693725310266018
1670388014151535900,0.423535888671875,-0.04074941202998161,-0.19586117565631866,0.013040510937571526
1670388014161467000,0.433466796875,-0.038896650075912476,-0.1826990246772766,0.02931748703122139
1670388014171399000,0.44339892578125,-0.03637444227933884,-0.16702865064144135,0.04554910957813263
1670388014181330000,0.453329833984375,-0.020367780700325966,-0.16604913771152496,0.06422319263219833
1670388014191261700,0.46326171875,-0.007596335373818874,-0.2005227506160736,0.07632625102996826
1670388014201193000,0.47319287109375,0.003146057715639472,-0.2894555330276489,0.06910829246044159
1670388014211125000,0.483125,-0.004255484323948622,-0.37666526436805725,0.07126329839229584
1670388014221055700,0.4930556640625,-0.017726551741361618,-0.43648624420166016,0.028235670179128647
1670388014230987800,0.50298779296875,-0.05446147918701172,-0.48827698826789856,-0.06595759093761444
1670388014240918800,0.512918701171875,-0.08107604086399078,-0.43662282824516296,-0.10852847993373871
1670388014250850600,0.5228505859375,-0.09750133752822876,-0.36951330304145813,-0.1343376189470291
1670388014260781800,0.53278173828125,-0.10268118977546692,-0.2787333130836487,-0.10350914299488068
1670388014270713900,0.5427138671875,-0.08999642729759216,-0.14033165574073792,-0.048901744186878204
1670388014280646000,0.55264599609375,-0.05864622816443443,0.009060758166015148,0.01635022647678852
1670388014290576600,0.56257666015625,-0.0077497027814388275,0.13959336280822754,0.07842841744422913
1670388014300508700,0.5725087890625,0.03748275712132454,0.21181616187095642,0.1224728375673294
1670388014310440000,0.58243994140625,0.04993300884962082,0.2534322440624237,0.13594840466976166
1670388014320372000,0.5923720703125,0.015868516638875008,0.24872006475925446,0.11476695537567139
1670388014330302700,0.602302734375,-0.023597877472639084,0.19544927775859833,0.04741230607032776
1670388014340234800,0.61223486328125,-0.06969160586595535,0.09231436997652054,-0.06457255035638809
1670388014350165800,0.622165771484375,-0.11325650662183762,-0.001869992003776133,-0.1957741379737854
1670388014360097800,0.632097900390625,-0.1236492246389389,-0.10223201662302017,-0.3039724826812744
