time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1670388013754274800,0.02627490234375,-0.5307019698507044,0.037803082055332206,-0.2614609978145705,0.035654328315988845,0.9644386769790309,0.008188519230260594,0.06868955513360887
1670388013764205800,0.036205810546875,-0.5306649487457905,0.03794268492316688,-0.261438076633455,0.03573578685253863,0.9644394296893202,0.008193331498023084,0.06895738227947665
1670388013774137900,0.046137939453125,-0.5306463199414605,0.037916090275759214,-0.26143364809544734,0.03548748705968511,0.964442663526346,0.008072331976968406,0.06896969819205594
1670388013784069000,0.056069091796875,-0.5306338739370413,0.03778387348174464,-0.2614381217130505,0.03503884292851618,0.9644482629477755,0.007876246771767046,0.0688171845689906
1670388013794001000,0.0660009765625,-0.5306221713469632,0.037640376338318224,-0.2614430352813603,0.03460071861950005,0.9644541032630518,0.007688664861619855,0.06863841761997529
1670388013803932000,0.075931884765625,-0.5305762800291641,0.0375647702229541,-0.26142714561577174,0.034324118181642646,0.9644623360151712,0.007566838916928916,0.06855694883872698
1670388013813864000,0.085864013671875,-0.5304690835252837,0.03756865644954044,-0.26137634793910475,0.03425846063605664,0.9644761952583811,0.007533684995992625,0.06858364922708521
1670388013823795000,0.095794921875,-0.5303182916379001,0.03763647622525708,-0.26129870455345716,0.03446095741033645,0.9644939189283033,0.007622757826379572,0.0686706298550779
1670388013833727000,0.10572705078125,-0.5301910961844684,0.037733844959434354,-0.2612282009219633,0.034888829199675654,0.9645075496883635,0.007820074347499036,0.06875767263692568
1670388013843659000,0.115658935546875,-0.5301030316236222,0.03780114921928868,-0.2611762645264686,0.03538545569288689,0.9645170615687834,0.008060478243988905,0.06876347310703884
1670388013853590000,0.125590087890625,-0.5300579390940106,0.03776826401698458,-0.26114989901309216,0.035744443051559924,0.96452380979056,0.008256107298472941,0.06859840502239652
1670388013863522000,0.13552197265625,-0.5300528523159801,0.03761417566530836,-0.26114958827990836,0.03587860792392833,0.9645289382238796,0.008367589358509819,0.06824249244672086
1670388013873452800,0.145452880859375,-0.5300611258392951,0.037364341928828836,-0.2611618407734576,0.03578097484741954,0.9645352089062238,0.008384861697078033,0.06775065392728455
1670388013883384800,0.155384765625,-0.5300457363118285,0.037083211469512774,-0.26116576160702504,0.03553159604798953,0.9645454850411213,0.008332486950272966,0.06723521329637278
1670388013893316000,0.165316162109375,-0.5299909334245345,0.03684932549007863,-0.26115051342963486,0.03520444144442896,0.9645593861360492,0.0082276622027364,0.06683916505438169
1670388013903248000,0.175247802734375,-0.5298693003449936,0.036702063178814165,-0.261100491410529,0.034886698784910096,0.9645795867997664,0.008105289739417123,0.06662080153201401
1670388013913179000,0.185178955078125,-0.5296569946780738,0.03666542636747791,-0.2610015249878972,0.034720253878246336,0.9646083551676616,0.00803272918581215,0.06659164939241474
1670388013923111000,0.19511083984375,-0.5294076862973502,0.03673028591534472,-0.2608792092339898,0.034742936165213234,0.9646389602004553,0.008031150018974476,0.06672210448931949
1670388013933042200,0.205042236328125,-0.5291633244563204,0.03686405221016591,-0.260755625815256,0.034886643813834065,0.9646669458926175,0.008073448993607485,0.06696270310980651
1670388013942974000,0.214973876953125,-0.5289490745352107,0.03704107086159492,-0.26064530446434775,0.03503617663549732,0.9646897339790532,0.008106528208045517,0.06729119667159851
1670388013952905000,0.224905029296875,-0.5287425534271276,0.03719291526256868,-0.26054133109208966,0.03505571407023179,0.9647121722456424,0.008079038703469162,0.06760254917729662
1670388013962837000,0.2348369140625,-0.528539697841547,0.037287262376872375,-0.2604436599369486,0.03487623913017461,0.9647358739866678,0.007964086285261275,0.06784837132370912
1670388013972768000,0.24476806640625,-0.5283763376048806,0.03732105525415103,-0.26036996680124713,0.03448068446814457,0.9647561309582448,0.007753023270305287,0.06802657958844135
1670388013982699800,0.25469970703125,-0.5282857890249548,0.03732285725853515,-0.26033345696393106,0.03400607418135854,0.9647678652864715,0.007508437665461264,0.06815915348057758
1670388013992631000,0.264631103515625,-0.5282303799431379,0.03730847903803878,-0.26031422077116595,0.03353905101191978,0.9647754436559054,0.007271550322367536,0.06825581959190338
1670388014002563000,0.27456298828125,-0.5281923421650528,0.03728034397687948,-0.26030429968334245,0.03303439217049192,0.9647811137185301,0.007018603944898262,0.06833396684221849
1670388014012493800,0.284493896484375,-0.5282082394624323,0.03722451984699113,-0.2603231171541352,0.032398555501939964,0.9647804551639344,0.006704301479282022,0.06838970812976418
1670388014022425900,0.29442578125,-0.5282638537157177,0.03714734047096045,-0.26036473789736975,0.031560307608129404,0.9647749435003738,0.006290299255006266,0.06845555549787762
1670388014032356900,0.30435693359375,-0.5284090143689819,0.03706905489526569,-0.26045274685397635,0.030513861444020393,0.9647574847229826,0.005767224223644897,0.06857485056142691
1670388014042289000,0.314288818359375,-0.5285779078521299,0.03699750423769034,-0.26055426465749965,0.029322685047888604,0.9647361832789194,0.0051669634328993744,0.06874725258348843
1670388014052221200,0.32422119140625,-0.5287553712082623,0.03694341029995077,-0.2606605779460581,0.02806139077097681,0.9647127765876864,0.0045254973562566855,0.06897500134514876
1670388014062152000,0.33415185546875,-0.5288905528439197,0.03692620803431602,-0.26074791807076686,0.026656094132051673,0.9646929532835756,0.0038002064617823055,0.06931861364973833
1670388014072084000,0.344083984375,-0.5289282598435683,0.036988156267081636,-0.26078559494260856,0.0253141936957497,0.9646829269505077,0.003088000131359063,0.06980976183131457
1670388014082015000,0.354014892578125,-0.5289917848419858,0.03713949946605572,-0.2608306968465407,0.024179860627193978,0.964666798143997,0.002458528211816585,0.07043017746753734
