time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1670388010272242200,-3.4557578125,-17.442060470581055,-1,-1,42.370421611792906,10.967939376831055,-1,35,26.10652732849121,-71.12176148260761,-1
1670388013745441800,0.01744189453125,-17.442060470581055,-1,-1,42.370421611792906,10.967939376831055,-1,35,26.10652732849121,-71.12176148260761,-1
1670388013750622000,0.0226220703125,-17.166747093200684,-1,-1,42.37041556450166,11.243252754211426,-1,35,21.237688064575195,-71.1217468051859,-1
1670388016334578000,2.606577880859375,-17.012983322143555,-1,-1,42.370434518079456,11.397016525268555,-1,50.87998074991985,17.52016258239746,-71.1217949779119,-1
