time,seconds_elapsed,z,y,x
1670388013754274800,0.02627490234375,0.25601532698571683,0.015128376353159546,-0.1265392714407295
1670388013764205800,0.036205810546875,0.26613106280863286,-0.008737287076562643,-0.12164298729915171
1670388013774137900,0.046137939453125,0.2626180862516165,-0.01624832029379904,-0.08584584386143833
1670388013784069000,0.056069091796875,0.23549217891693114,-0.057244712875038385,-0.047195977873727674
1670388013794001000,0.0660009765625,0.16618015775978565,-0.09819880068451166,-0.010295330173522233
1670388013803932000,0.075931884765625,0.12413023753762245,-0.14283961418271063,0.01515223215278238
1670388013813864000,0.085864013671875,0.09091478115618229,-0.17654614201672375,0.037791568657942115
1670388013823795000,0.095794921875,0.06909048736095429,-0.1670161701925099,0.024141886555217203
1670388013833727000,0.10572705078125,0.04165302985906601,-0.12785736830197275,-0.023434578536078332
1670388013843659000,0.115658935546875,0.038186230531334873,-0.10685133208706975,-0.020508973412960766
1670388013853590000,0.125590087890625,0.03488075924515724,-0.09769231246709822,-0.00576714869197458
1670388013863522000,0.13552197265625,0.027290742507576942,-0.07289302144907414,0.016555303883738815
1670388013873452800,0.145452880859375,0.02316343344449997,-0.04508417335152626,0.061790904937312006
1670388013883384800,0.155384765625,-0.021000702452659607,-0.02169621043615043,0.07738529136702418
1670388013893316000,0.165316162109375,-0.07195347557663917,-0.011655147284641862,0.08775777842998504
1670388013903248000,0.175247802734375,-0.07634031235873699,-0.00286824891269207,0.10208272944577038
1670388013913179000,0.185178955078125,-0.06040332303643226,-0.002405307576060295,0.0862021464858204
1670388013923111000,0.19511083984375,-0.0640875645071268,-0.0029245091445744037,0.01939454589765519
1670388013933042200,0.205042236328125,-0.03556348081231117,0.001973492030054331,-0.02330521653536707
1670388013942974000,0.214973876953125,-0.021914310166239737,0.004589154421165585,-0.05349029224496334
1670388013952905000,0.224905029296875,-0.020779753178358076,-0.007028948788717388,-0.0461922807238996
1670388013962837000,0.2348369140625,0.0051554830670356745,-0.019587547719106077,-0.030814605784788725
1670388013972768000,0.24476806640625,-0.012935469418764113,-0.02727116102427244,-0.03876406695190817
1670388013982699800,0.25469970703125,-0.032467268362641334,-0.029864538518339395,-0.04788688274733722
1670388013992631000,0.264631103515625,-0.03881166895329952,-0.04148841388188302,-0.0018683876877650617
1670388014002563000,0.27456298828125,-0.027925533279776572,-0.04715813008137047,0.03957965765111148
1670388014012493800,0.284493896484375,-0.059632338663935656,-0.029105317648872732,0.02514846978187561
1670388014022425900,0.29442578125,-0.09787117616534233,0.0014664192907512187,-0.022916911337524652
1670388014032356900,0.30435693359375,-0.13429448867738247,0.02238580013550818,-0.046499410444311794
1670388014042289000,0.314288818359375,-0.1505225699007511,0.027963088811188936,-0.01988346192575991
1670388014052221200,0.32422119140625,-0.15466156940162182,0.019566943322494625,0.04587625531097874
1670388014062152000,0.33415185546875,-0.17112755103409288,-0.02645180746540427,0.10481633739443495
1670388014072084000,0.344083984375,-0.18937690895199774,-0.03780775260776281,0.13081714968932792
1670388014082015000,0.354014892578125,-0.12608254064917562,0.003575958790630102,0.04196308218892664
1670388014091946800,0.36394677734375,-0.04403846369087696,0.055630921002849935,-0.10605322224562987
1670388014101878000,0.3738779296875,-0.0493868389815092,0.030663653006777165,-0.0738722417447716
1670388014111810000,0.38381005859375,-0.036088381469249725,0.009063888682425022,-0.03343655178621411
1670388014121741000,0.393740966796875,0.05116378552615642,-0.0036308307830244303,0.006925543213170022
1670388014131672800,0.4036728515625,0.06466098048090935,-0.011149608915299177,0.027306451533362266
1670388014141603800,0.413603759765625,0.05924012447595596,-0.02790755923166871,0.026932046996708956
1670388014151535900,0.423535888671875,0.04644084865748882,-0.0356973363250494,0.02818074101670645
1670388014161467000,0.433466796875,0.005821253499388695,-0.03683664255328476,0.02695224953452125
1670388014171399000,0.44339892578125,-0.028534020566940307,-0.03999240317046642,0.03319838651563041
1670388014181330000,0.453329833984375,-0.045099955442547794,-0.05563756993934512,0.07790292203295976
1670388014191261700,0.46326171875,-0.06180617557168006,-0.08912146799862385,0.11715181335974484
1670388014201193000,0.47319287109375,-0.22606676344573495,-0.026791122422367333,0.10143027515271678
1670388014211125000,0.483125,-0.4253828826099634,0.02342098840214312,0.01679764300594106
1670388014221055700,0.4930556640625,-0.4601385541707277,0.12707878514491022,-0.002320131776947528
1670388014230987800,0.50298779296875,-0.3213584445118904,0.3487260516479611,0.07853843432436697
1670388014240918800,0.512918701171875,-0.23903438156843185,0.16721768411397933,0.15599321986418216
1670388014250850600,0.5228505859375,-0.05597440067827701,0.1519808058850467,0.1204001110985875
1670388014260781800,0.53278173828125,0.12911971638798714,0.14011815332956612,0.10692542023658752
1670388014270713900,0.5427138671875,0.24686346775889395,0.035072336294502016,0.08866546785943209
1670388014280646000,0.55264599609375,0.35832945403456684,-0.0670025751709938,0.20838747876705602
1670388014290576600,0.56257666015625,0.6143325060606002,-0.23522556386999785,0.13333201858708635
1670388014300508700,0.5725087890625,0.7392068399637937,-0.3407925552349537,-0.0359980911036022
1670388014310440000,0.58243994140625,0.7727823618292808,-0.35407756874375046,-0.15466151460269464
1670388014320372000,0.5923720703125,0.8793892176359891,-0.34685338964387774,-0.4929594948092475
1670388014330302700,0.602302734375,0.9082441407203674,-0.3348948024332523,-0.6768325091153383
1670388014340234800,0.61223486328125,0.9297177213817834,-0.32133374846205115,-0.6400282344616949
1670388014350165800,0.622165771484375,0.8644406548291445,-0.3744925071977079,-0.4811671310110017
1670388014360097800,0.632097900390625,0.7194494155704975,-0.45021636815853416,-0.09454025077749975
